claim,claim_text,claim_label,evidence,evidence_text
752,south australia expensive electricity world,SUPPORTS,67732,citation need south australia high retail price electricity country
530,south australia win unreliable grid world outside africa expensive electricity,SUPPORTS,67732,citation need south australia high retail price electricity country
752,south australia expensive electricity world,SUPPORTS,572512,south australia high power price world
375,3 per cent total annual global emission carbon dioxide humans australia prod­uces 13 per cent 3 per cent amount emission reductio­n effect global climate,NOT_ENOUGH_INFO,996421,2011 unep green economy report state aagricultural operation exclude land use change produce approximately 13 per cent anthropogenic global ghg emission
375,3 per cent total annual global emission carbon dioxide humans australia prod­uces 13 per cent 3 per cent amount emission reductio­n effect global climate,NOT_ENOUGH_INFO,1080858,market share 30 potentially clean electricity heat pump could reduce global co 2 emission 8 annually
375,3 per cent total annual global emission carbon dioxide humans australia prod­uces 13 per cent 3 per cent amount emission reductio­n effect global climate,NOT_ENOUGH_INFO,208053,modern era emission atmosphere volcano approximately 0645 billion tonne co 2 per year whereas human contribute 29 billion tonne co 2 year
375,3 per cent total annual global emission carbon dioxide humans australia prod­uces 13 per cent 3 per cent amount emission reductio­n effect global climate,NOT_ENOUGH_INFO,699212,cumulative anthropogenic ie humanemitted emission co 2 fossil fuel use major global warm give indication country contribute humaninduced climate change
375,3 per cent total annual global emission carbon dioxide humans australia prod­uces 13 per cent 3 per cent amount emission reductio­n effect global climate,NOT_ENOUGH_INFO,832334,country fast grow emission south korea iran australia apart oil rich persian gulf state high percapita emission rate world
1266,mean world 1c warmer preindustrial time,SUPPORTS,889933,multiple independently produce instrumental datasets confirm 2009–2018 decade 093 ± 007 °c warmer preindustrial baseline 1850–1900
1266,mean world 1c warmer preindustrial time,SUPPORTS,694262,planet 08 °c warmer preindustrial time
871,“ happen zika may also good model second worrying effect — disease mutation,NOT_ENOUGH_INFO,422399,genetic disorder result deleterious mutation due spontaneous mutation affect individual inherit
871,“ happen zika may also good model second worrying effect — disease mutation,NOT_ENOUGH_INFO,702226,error call mutation affect phenotype organism especially occur within protein cod sequence gene
871,“ happen zika may also good model second worrying effect — disease mutation,NOT_ENOUGH_INFO,286834,especially useful study disease adult allow expression certain period growth thus eliminate deleterious effect gene expression see stage development model organism
871,“ happen zika may also good model second worrying effect — disease mutation,NOT_ENOUGH_INFO,472751,addition research need determine mechanism zika produce effect
871,“ happen zika may also good model second worrying effect — disease mutation,NOT_ENOUGH_INFO,641043,zika also appear equal tropism cell develop eye lead high rate eye abnormality well
2164,greenland lose tiny fraction ice mass,REFUTES,52981,iceberg calving happen average greenland lose 294 gt mass 2007 one km3 ice weigh 09 gt
